energy,Ac,Ag,Al,Ar,As,At,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Fe,Fr,Ga,Gd,Ge,H,He,Hf,Hg,Ho,I,In,Ir,K,Kr,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ne,Ni,O,Os,P,Pa,Pb,Pd,Pm,Po,Pr,Pt,Ra,Rb,Re,Rh,Rn,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Tc,Te,Th,Ti,Tl,Tm,U,V,W,Xe,Y,Yb,Zn,Zr
0.03,38.11,36.68,1.128,2.697,15.06,34.42,27.52,0.2063,9.904,0.1792,31.52,17.53,0.2562,4.08,37.65,11.19,2.425,8.962,6.434,9.507,10.92,16.25,17.8,14.41,0.4487,8.176,35.5,12.81,14.84,13.85,0.357,0.1838,20.98,28.41,17.01,8.561,39.49,25.46,3.413,18.54,10.52,0.1644,20.23,0.9306,7.141,28.1,0.3066,0.7197,26.66,12.47,0.5923,10.34,0.3779,24.43,1.7,40.77,30.32,34.65,13.27,33.03,11.92,26.41,36.64,20.09,23.67,33.3,34.08,31.39,2.113,7.631,4.409,15.96,1.436,13.65,41.21,21.57,21.87,15.63,29.93,7.878,38.92,4.972,29.29,18.68,41.28,5.564,22.73,8.93,23.3,19.32,12.07,24.85
0.0304911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.307,,,,,,,,,,,,,,,,,,,,,,
0.0304912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.73,,,,,,,,,,,,,,,,,,,,,,
0.0318137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.738,,,,,,,,,,,,
0.0318138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.19,,,,,,,,,,,,
0.0331693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0331694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0345613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.129,,,,
0.0345614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.16,,,,
0.0359845,,,,,,,,,,,,,,,,,,,,5.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0359846,,,,,,,,,,,,,,,,,,,,31.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
